noise_ratio,edge_type,predictive_uncertainty
0.1,clean,1.2319400310516357
0.1,clean,0.9858224391937256
0.1,clean,1.0175764560699463
0.1,clean,1.2060112953186035
0.1,clean,1.3405777215957642
0.1,clean,1.6049139499664307
0.1,clean,1.4305418729782104
0.1,clean,0.9506970643997192
0.1,clean,0.9475658535957336
0.1,clean,1.5886427164077759
0.1,clean,1.2423985004425049
0.1,clean,1.537082552909851
0.1,clean,1.235449194908142
0.1,clean,1.0079997777938843
0.1,clean,1.0307905673980713
0.1,clean,1.1524380445480347
0.1,clean,1.2294574975967407
0.1,clean,1.69871187210083
0.1,clean,1.168095350265503
0.1,clean,0.8890669345855713
0.1,clean,1.2772243022918701
0.1,clean,0.9147704243659973
0.1,clean,1.3434263467788696
0.1,clean,1.5714943408966064
0.1,clean,2.131542682647705
0.1,clean,1.602782130241394
0.1,clean,0.9818164110183716
0.1,clean,1.402848243713379
0.1,clean,1.0101479291915894
0.1,clean,2.7524237632751465
0.1,clean,0.9932844638824463
0.1,clean,1.0585240125656128
0.1,clean,1.5775997638702393
0.1,clean,0.9906818866729736
0.1,clean,1.2883706092834473
0.1,clean,2.0823464393615723
0.1,clean,0.9194304943084717
0.1,clean,1.306477665901184
0.1,clean,1.3735908269882202
0.1,clean,1.0439825057983398
0.1,clean,1.3882200717926025
0.1,clean,1.4562747478485107
0.1,clean,1.4453027248382568
0.1,clean,0.9702255129814148
0.1,clean,1.3316770792007446
0.1,clean,2.175604820251465
0.1,clean,1.143526554107666
0.1,clean,1.2189548015594482
0.1,clean,1.1000795364379883
0.1,clean,1.7442889213562012
0.1,clean,1.2545028924942017
0.1,clean,0.9465624094009399
0.1,clean,0.8988391160964966
0.1,clean,2.075162887573242
0.1,clean,1.338801383972168
0.1,clean,1.0720125436782837
0.1,clean,0.9588660597801208
0.1,clean,1.2810828685760498
0.1,clean,1.8966798782348633
0.1,clean,1.1371986865997314
0.1,clean,1.6028964519500732
0.1,clean,1.1024606227874756
0.1,clean,2.230405569076538
0.1,clean,0.8444067239761353
0.1,clean,1.0716750621795654
0.1,clean,1.212330937385559
0.1,clean,0.9097319841384888
0.1,clean,1.1707230806350708
0.1,clean,1.2166690826416016
0.1,clean,0.9149770736694336
0.1,clean,0.9785407185554504
0.1,clean,0.8917921781539917
0.1,clean,1.0455673933029175
0.1,clean,1.153104543685913
0.1,clean,1.8362592458724976
0.1,clean,1.3146708011627197
0.1,clean,0.9891025424003601
0.1,clean,1.2350120544433594
0.1,clean,0.9850142598152161
0.1,clean,1.0532255172729492
0.1,clean,0.8687611818313599
0.1,clean,0.9714070558547974
0.1,clean,1.6934624910354614
0.1,clean,1.5737372636795044
0.1,clean,1.1337921619415283
0.1,clean,1.0551254749298096
